OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
2022,2022-06-06,1420,2022,2022-06-06,1420,D52,Business/Retail,NO,NO,none,None,None,none,2slgbtq+,None,NO,Uttering Threats - Bodily Harm,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO
2022,2022-06-07,1933,2022,2022-06-07,1933,D55,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,none,None,None,none,2slgbtq+,None,NO,Mischief Interfere With Property,057,Broadview North (57),057,Broadview North (57),NO
2022,2022-06-12,1953,2022,2022-06-12,1953,D51,Streets/Roadways/Highway,NO,NO,east/southeast asian,None,None,none,none,None,NO,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),YES
2022,2022-06-12,2115,2022,2022-06-12,2126,D51,Streets/Roadways/Highway,NO,NO,none,None,None,none,gay,None,NO,Assault,074,North St.James Town (74),074,North St.James Town (74),YES
2022,2022-06-15,600,2022,2022-06-15,600,D55,Streets/Roadways/Highway,NO,NO,none,None,None,none,gay,None,NO,Uttering Threats - Bodily Harm,070,South Riverdale (70),070,South Riverdale (70),NO
2022,2022-06-17,1630,2022,2022-06-20,1343,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,black,None,None,jewish,none,None,YES,Mischief Under $5000,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),NO
2022,2022-06-17,2200,2022,2022-06-18,448,D33,"Open Area, Park or Parking Lot",NO,NO,black,None,None,jewish,none,None,YES,Mischief Under $5000,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),NO
2022,2022-06-17,1222,2022,2022-06-17,1223,D22,Public Transportation,NO,NO,none,Other Ethnicity not mentioned,None,none,none,Woman,YES,Murder,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),YES
2022,2022-06-20,1205,2022,2022-06-20,1205,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,black,None,None,none,none,None,NO,Mischief Under $5000,142,Woburn North (142),137,Woburn (137),NO
2022,2022-06-20,1700,2022,2022-06-20,2031,D22,Streets/Roadways/Highway,NO,NO,east/southeast asian,None,None,none,none,None,NO,Assault,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),NO
2022,2022-06-22,1201,2022,2022-06-22,1201,D42,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,Other Ethnicity not mentioned,None,none,none,None,NO,Assault,118,Tam O'Shanter-Sullivan (118),118,Tam O'Shanter-Sullivan (118),YES
2022,2022-06-22,1000,2022,2022-06-22,1000,D51,Streets/Roadways/Highway,NO,NO,black,None,None,none,none,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES
2022,2022-06-24,49,2022,2022-08-12,740,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,east/southeast asian,None,None,none,none,None,NO,Mischief Under $5000,070,South Riverdale (70),070,South Riverdale (70),NO
2022,2022-06-24,959,2022,2022-06-24,1932,D51,Other Commercial / Corporate Places ,NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO
2022,2022-06-24,2030,2022,2022-06-24,2030,D51,Streets/Roadways/Highway,NO,NO,none,None,None,none,gay,None,NO,Assault With a Weapon,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),NO
2022,2022-06-26,445,2022,2022-06-26,445,D51,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,none,None,None,none,none,Woman,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES
2022,2022-06-29,1700,2022,2022-07-11,1526,D52,Streets/Roadways/Highway,NO,NO,black,None,None,none,none,None,NO,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO
2022,2022-06-30,1519,2022,2022-07-04,1613,D31,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),YES
